Table/View Name,Column Name,Data Type,Nullable,Primary Key,Foreign Key,Constraints / Defaults,Description
telemetry.telemetry_events,lap_phase,TEXT,YES,NO,,CHECK (lap_phase IS NULL OR lap_phase IN ('PRESTART_CHECK' 'RUNNING' 'CROSSING_CANDIDATE' 'CROSSING_DEADZONE' 'RESTART_ALLOWED' 'LAP_COMPLETE' 'SESSION_COMPLETE')),"Lap phase"
telemetry.telemetry_events,metric_key,TEXT,NO,NO,,,"Name of metric"
telemetry.telemetry_events,metric_value,DOUBLE PRECISION,NO,NO,,,"Numeric value of metric"
telemetry.telemetry_events,unit,TEXT,YES,NO,,,"Unit of metric"
telemetry.telemetry_events,source,TEXT,NO,NO,,,"Source of telemetry (e.g. can)"
telemetry.telemetry_events,can_id,INTEGER,YES,NO,,,"CAN ID of origin message"
telemetry.telemetry_events,seq_in_session,BIGINT,NO,NO,,,"Monotonic sequence ID"
telemetry.telemetry_events,quality_flag,TEXT,YES,NO,,,"Metric quality flag (e.g. ok)"
telemetry.telemetry_events,tags,JSONB,YES,NO,,,"Arbitrary tags JSON"
telemetry.telemetry_events,created_at_utc,TIMESTAMPTZ,NO,NO,,DEFAULT now(),"Row creation timestamp"
telemetry.lap_events,ts_wall_utc,TIMESTAMPTZ,NO,NO,,,"Wall-clock time of event (Hypertable Key)"
telemetry.lap_events,session_id,UUID,NO,NO,telemetry.sessions(session_id),,"Reference to the session"
telemetry.lap_events,event_type,TEXT,NO,NO,,,"Type of event"
telemetry.lap_events,lap_number,INTEGER,YES,NO,,,"Lap sequence number"
telemetry.lap_events,reason,TEXT,YES,NO,,,"Reason text"
telemetry.lap_events,method,TEXT,YES,NO,,,"Detection method"
telemetry.lap_events,confidence,REAL,YES,NO,,,"Confidence score"
telemetry.lap_events,lat,DOUBLE PRECISION,YES,NO,,,"Latitude"
telemetry.lap_events,lon,DOUBLE PRECISION,YES,NO,,,"Longitude"
telemetry.lap_events,heading_deg,REAL,YES,NO,,,"Heading"
telemetry.lap_events,speed_kmh,REAL,YES,NO,,,"Speed"
telemetry.lap_events,details,JSONB,YES,NO,,,"Arbitrary details JSON"
telemetry.lap_events,created_at_utc,TIMESTAMPTZ,NO,NO,,DEFAULT now(),"Row creation timestamp"
telemetry.raw_can_frames,ts_wall_utc,TIMESTAMPTZ,NO,NO,,,"Wall-clock time of frame (Hypertable Key)"
telemetry.raw_can_frames,session_id,UUID,NO,NO,telemetry.sessions(session_id),,"Reference to the session"
telemetry.raw_can_frames,ts_session_ms,BIGINT,NO,NO,,,"Milliseconds elapsed in session"
telemetry.raw_can_frames,can_id,INTEGER,NO,NO,,,"CAN ID"
telemetry.raw_can_frames,payload_hex,TEXT,NO,NO,,,"Hex string payload"
telemetry.raw_can_frames,bus_name,TEXT,YES,NO,,,"CAN bus name"
telemetry.raw_can_frames,seq_in_session,BIGINT,YES,NO,,,"Monotonic sequence ID"
telemetry.raw_can_frames,source,TEXT,NO,NO,,,"Source of frame"
telemetry.raw_can_frames,created_at_utc,TIMESTAMPTZ,NO,NO,,DEFAULT now(),"Row creation timestamp"
telemetry.sessions_ingest_view,session_id,UUID,NO,NO,,,"Session UUID (Writable view column)"
telemetry.sessions_ingest_view,session_name,TEXT,NO,NO,,,"User-defined session name (Writable view column)"
telemetry.sessions_ingest_view,session_state,TEXT,NO,NO,,,"Current state of the session (Writable view column)"
telemetry.sessions_ingest_view,ui_mode,TEXT,NO,NO,,,"UI screen mode (Writable view column)"
telemetry.sessions_ingest_view,laps_completed,INTEGER,NO,NO,,,"Completed laps count (Writable view column)"
telemetry.sessions_ingest_view,crossing_deadzone_ms,INTEGER,NO,NO,,,"Deadzone period after crossing (Writable view column)"
